name,email,phone,brokerage,metro_area,state,license_number,years_experience,transaction_volume,cream_fit_score,priority_tier,date_added
Joe Rivera,joe_rivera@yahoo.com,(404) 895-3224,The Collective,"Marietta, GA",GA,GA2013749,14,43,87,B,2026-04-05
Elizabeth Reed,ereed@yahoo.com,(678) 789-2709,ERA Real Estate,"Columbus, GA",GA,GA9994964,15,35,94,C,2026-04-05
Maria Jackson,mariaj@coldwellbanker.com,(805) 530-5713,Coldwell Banker,"Bakersfield, CA",CA,BRE2405215,0,10,60,B,2026-04-05
Anthony Hall,anthony_hall@miamibeachrealty.com,(404) 245-9668,Miami Beach Realty,"Marietta, GA",GA,GA2942776,10,54,92,B,2026-04-05
Laura Morris,laura.morris5@coldwellbanker.com,(916) 720-5781,Coldwell Banker,"San Diego, CA",CA,BRE1135387,2,10,60,A,2026-04-05
Charles Gutierrez,charles2@yahoo.com,(912) 401-5845,Coldwell Banker,"Austin, GA",GA,GA4818597,1,12,63,A,2026-04-05
Betty Myers,myersb@kw.com,(912) 452-6483,The Agency,"Fort Worth, GA",GA,GA2786467,8,27,77,A,2026-04-05
Stephanie Jones,stephanie_jones@rogershealy.com,(214) 569-4530,Rogers Healy,"Corpus Christi, TX",TX,TREC1826630,17,76,89,B,2026-04-05
Patricia Carter,patricia56@sothebysrealty.com,(470) 615-5329,Berkshire Hathaway HomeServices,"Dallas, GA",GA,GA9282960,24,35,95,A,2026-04-05
Dorothy Miller,dmiller@gmail.com,(631) 571-1137,Realogics Sotheby's,"Beaumont, NY",NY,104911860231,14,32,88,C,2026-04-05
Barbara Torres,barbara_torres@gmail.com,(928) 656-8991,Realty ONE Group,"Tucson, AZ",AZ,AZ7302434,6,28,86,B,2026-04-05
Angela Castillo,castilloa@icloud.com,(415) 420-5153,The Collective,"Oakland, CA",CA,BRE6004910,13,33,97,B,2026-04-05
Joe Long,joe.long@redfin.com,(631) 566-5205,Briggs Freeman,"Long Island, NY",NY,104916766856,2,6,60,A,2026-04-05
Richard Jenkins,richard12@gmail.com,(480) 744-8271,Austin Home Girls,"Tucson, AZ",AZ,AZ7389137,5,20,69,B,2026-04-05
Michael Kim,mkim@redfin.com,(419) 862-5952,Austin Home Girls,"Dallas, OH",OH,R.E.2199463,20,72,98,A,2026-04-05
Lisa Smith,lisa47@erarealestate.com,(980) 269-6390,ERA Real Estate,"Winston-Salem, NC",NC,NC1612905,0,3,67,B,2026-04-05
Nicole Mitchell,nicole.mitchell@berkshirehathaway.com,(484) 612-4994,eXp Realty,"Fort Worth, PA",PA,RS346536,4,17,80,A,2026-04-05
Kimberly Hughes,kimberly84@icloud.com,(480) 576-4682,Houston Luxury Homes,"Tempe, AZ",AZ,AZ2035642,9,24,90,B,2026-04-05
Elizabeth Reed,reede@rogershealy.com,(480) 948-2384,Rogers Healy,"Fort Worth, AZ",AZ,AZ4146182,10,79,94,A,2026-04-05
Jason Lewis,jason.lewis@icloud.com,(912) 970-5145,Brown Harris Stevens,"Roswell, GA",GA,GA1073742,10,50,96,C,2026-04-05
Jessica Jones,jonesj@kw.com,(330) 928-4609,John L. Scott,"Dayton, OH",OH,R.E.2087212,16,44,91,B,2026-04-05
Sharon Russell,sharon.russell8@compass.com,(267) 774-3361,Julie Harris Realty,"Scranton, PA",PA,RS387024,17,44,86,C,2026-04-05
Edward Morgan,edward_morgan@remax.net,(915) 589-9467,Nicholas Realty,"Waco, TX",TX,TREC2375070,12,19,94,C,2026-04-05
Paul Garcia,paulg@kw.com,(310) 452-8469,Berkshire Hathaway HomeServices,"Stockton, CA",CA,BRE4930514,7,31,82,B,2026-04-05
David Evans,devans@yahoo.com,(252) 234-7268,The Collective,"Fayetteville, NC",NC,NC1973826,9,29,82,C,2026-04-05
Sandra Gomez,sandrag@redfin.com,(213) 567-1370,Sunshine State Properties,"Fresno, CA",CA,BRE8610358,2,7,65,B,2026-04-05
Rachel Flores,rachel_flores@outlook.com,(928) 507-8638,Julie Harris Realty,"Tucson, AZ",AZ,AZ8080575,1,9,65,B,2026-04-05
Pamela Wilson,pamela.wilson@outlook.com,(570) 558-1030,Brown Harris Stevens,"State College, PA",PA,RS357476,24,50,92,C,2026-04-05
Michelle White,michelle.white@yahoo.com,(805) 552-8072,Houston Luxury Homes,"San Diego, CA",CA,BRE4401637,3,9,72,A,2026-04-05
Alexander Collins,acollins@remax.net,(828) 441-8071,Redfin,"Greensboro, NC",NC,NC3842995,18,40,87,B,2026-04-05
Brian Chavez,brian.chavez3@kw.com,(470) 667-4960,Tampa Bay Elite,"San Antonio, GA",GA,GA9903141,13,71,92,A,2026-04-05
Michael Cruz,mcruz@thecollective.com,(312) 618-5226,The Collective,"Waco, IL",IL,4755731369,17,69,86,C,2026-04-05
Kevin Evans,kevine@hillcountryrealestate.com,(267) 750-5361,Hill Country Real Estate,"Harrisburg, PA",PA,RS311042,24,38,93,B,2026-04-05
Virginia Hill,virginia.hill4@gmail.com,(740) 691-8759,Realty ONE Group,"Toledo, OH",OH,R.E.6119709,4,16,76,B,2026-04-05
Catherine Robinson,catherine.robinson@century21.com,(872) 998-5285,Ebby Halliday,"Lubbock, IL",IL,4759843397,6,38,80,B,2026-04-05
Virginia Kim,virginia.kim7@yahoo.com,(914) 385-1004,Better Homes & Gardens,"New York City, NY",NY,104914888837,12,33,93,A,2026-04-05
Michelle Gomez,mgomez@theagency.com,(239) 637-6892,The Agency,"Pensacola, FL",FL,BK2320551,14,45,92,C,2026-04-05
Emma Torres,emma_torres@hotmail.com,(570) 655-2193,Houston Luxury Homes,"Dallas, PA",PA,RS302534,10,52,86,A,2026-04-05
Debra Russell,debra61@ebbyhalliday.com,(330) 409-9813,Ebby Halliday,"Dallas, OH",OH,R.E.8454343,17,22,87,A,2026-04-05
Amanda Jones,amanda_jones@corcoran.com,(817) 782-4217,Corcoran,"Dallas, TX",TX,TREC6609847,20,49,88,A,2026-04-05
Mary Foster,mfoster@remax.net,(717) 848-7601,JP & Associates,"Dallas, PA",PA,RS334908,17,62,97,A,2026-04-05
Timothy Thomas,tthomas@elliman.com,(872) 494-8593,Realty ONE Group,"El Paso, IL",IL,4754468392,15,28,81,B,2026-04-05
Anna Robinson,anna49@hotmail.com,(727) 594-8850,Coldwell Banker,"Fort Lauderdale, FL",FL,BK3329795,1,7,66,A,2026-04-05
Paul Diaz,pdiaz@cbrealty.com,(646) 898-1464,The Collective,"New York City, NY",NY,104916415486,5,5,63,A,2026-04-05
Donna Howard,donnah@yahoo.com,(224) 394-9450,Halstead,"Schaumburg, IL",IL,4751508876,15,58,90,A,2026-04-05
Jennifer Moore,jennifer77@elliman.com,(980) 367-2528,Orlando Dream Homes,"Raleigh, NC",NC,NC1369065,22,58,95,B,2026-04-05
Amanda Morris,morrisa@elliman.com,(619) 858-6490,The Collective,"Santa Cruz, CA",CA,BRE2603909,9,19,81,C,2026-04-05
Patricia Davis,pdavis@remax.net,(814) 298-2411,Nicholas Realty,"Fort Worth, PA",PA,RS318254,2,6,70,A,2026-04-05
Nancy Myers,nancy3@realtor.com,(929) 603-7219,eXp Realty,"Manhattan, NY",NY,104916547531,0,8,60,A,2026-04-05
Helen Morales,helenm@berkshirehathaway.com,(912) 361-7505,Compass,"Dallas, GA",GA,GA9705498,4,17,68,A,2026-04-05
Nicholas Hill,nicholas32@outlook.com,(470) 664-1467,Realty ONE Group,"Austin, GA",GA,GA2695192,25,39,86,A,2026-04-05
Dorothy Jimenez,dorothy_jimenez@austinhomegirls.com,(817) 544-9667,Austin Home Girls,"Waco, TX",TX,TREC7369783,19,27,95,C,2026-04-05
Emma Bailey,emma.bailey4@berkshirehathaway.com,(520) 851-1023,Realogics Sotheby's,"Peoria, AZ",AZ,AZ9637131,9,36,86,C,2026-04-05
Gary Jimenez,gary_jimenez@kellerwilliams.com,(984) 952-8735,Keller Williams,"Houston, NC",NC,NC7221607,19,75,99,A,2026-04-05
James Torres,jtorres@berkshirehathaway.com,(919) 727-5609,Berkshire Hathaway,"Greensboro, NC",NC,NC1297426,5,19,68,B,2026-04-05
Gary Ward,gary54@gmail.com,(717) 494-5684,Tampa Bay Elite,"Erie, PA",PA,RS383717,1,7,60,B,2026-04-05
Pamela Mitchell,pamelam@yahoo.com,(929) 452-1148,Redfin,"Manhattan, NY",NY,104916203917,21,52,100,A,2026-04-05
Anna Harris,anna.harris3@hotmail.com,(419) 278-9508,Windermere,"Toledo, OH",OH,R.E.5517804,9,30,94,B,2026-04-05
Karen Harris,karen_harris@sothebysrealty.com,(828) 316-9984,Compass,"Fayetteville, NC",NC,NC3280122,13,43,88,C,2026-04-05
Ashley Richardson,arichardson@sothebysinternationalrealty.com,(404) 733-8129,Sotheby's International Realty,"Marietta, GA",GA,GA2968489,13,51,89,B,2026-04-05
Michael Nguyen,mnguyen@cbrealty.com,(937) 325-8662,Brown Harris Stevens,"Toledo, OH",OH,R.E.9515891,21,54,99,B,2026-04-05
Bryan Hernandez,bryan71@outlook.com,(949) 884-6941,Century 21,"San Francisco, CA",CA,BRE7039720,4,4,66,A,2026-04-05
Donald Mitchell,dmitchell@kw.com,(805) 695-8688,Halstead,"Oakland, CA",CA,BRE6154637,6,30,90,B,2026-04-05
Emma Scott,escott@douglaselliman.com,(630) 232-4485,Douglas Elliman,"Naperville, IL",IL,4758798011,7,36,90,A,2026-04-05
Jack Edwards,jack32@hotmail.com,(619) 843-1897,Tampa Bay Elite,"San Francisco, CA",CA,BRE2238597,21,58,91,A,2026-04-05
Donald Harris,harrisd@hotmail.com,(717) 481-2954,Brown Harris Stevens,"Houston, PA",PA,RS353175,25,57,91,A,2026-04-05
David Brown,david.brown8@gmail.com,(917) 242-5127,The Collective,"Amarillo, NY",NY,104915877701,22,68,99,B,2026-04-05
Susan Morgan,susan.morgan2@daveperrymiller.com,(707) 233-9193,Dave Perry Miller,"Sacramento, CA",CA,BRE6546887,0,4,60,A,2026-04-05
Susan Foster,susanf@outlook.com,(980) 880-9733,Halstead,"Greensboro, NC",NC,NC5503187,7,24,79,B,2026-04-05
Mary Cruz,cruzm@gmail.com,(619) 677-3433,William Pitt,"Sacramento, CA",CA,BRE9938712,9,24,86,A,2026-04-05
Rebecca Long,longr@jpassociates.com,(916) 578-7922,JP & Associates,"San Diego, CA",CA,BRE2477529,23,70,95,A,2026-04-05
Katherine Williams,kwilliams@berkshirehathaway.com,(630) 367-4356,Sotheby's International Realty,"McAllen, IL",IL,4757455814,1,2,60,B,2026-04-05
Christine Flores,christine_flores@outlook.com,(559) 690-5702,Douglas Elliman,"Sacramento, CA",CA,BRE6094746,23,38,94,A,2026-04-05
Pamela Adams,pamela.adams@sothebysrealty.com,(214) 917-4493,Long & Foster,"El Paso, TX",TX,TREC7662264,23,57,92,B,2026-04-05
Laura Bailey,laura_bailey@yahoo.com,(520) 868-8853,ERA Real Estate,"Scottsdale, AZ",AZ,AZ5912906,4,12,75,B,2026-04-05
Michael Diaz,michael_diaz@redfin.com,(805) 718-9956,Realty ONE Group,"San Jose, CA",CA,BRE7530512,10,55,86,A,2026-04-05
Catherine Brown,catherine.brown1@outlook.com,(817) 986-5620,The Collective,"Corpus Christi, TX",TX,TREC5846022,0,3,61,B,2026-04-05
Jack Collins,jcollins@cbrealty.com,(917) 305-6625,Orlando Dream Homes,"Brooklyn, NY",NY,104911000716,23,31,86,A,2026-04-05
Brian Lewis,brian_lewis@elliman.com,(949) 793-1071,Coldwell Banker,"Riverside, CA",CA,BRE8027188,0,9,70,B,2026-04-05
Juan Reyes,juan.reyes3@expworldholdings.com,(602) 438-8082,Century 21,"Peoria, AZ",AZ,AZ2018754,13,44,90,C,2026-04-05
Larry Davis,larryd@austinhomegirls.com,(646) 619-6921,Austin Home Girls,"Manhattan, NY",NY,104913360616,0,9,60,A,2026-04-05
Ashley Clark,clarka@hillcountryrealestate.com,(847) 908-3442,Hill Country Real Estate,"Beaumont, IL",IL,4754506116,17,68,92,C,2026-04-05
Bradley Martin,bradley.martin6@sothebysrealty.com,(813) 263-2359,Dave Perry Miller,"Orlando, FL",FL,BK1140209,1,8,65,A,2026-04-05
Edward Clark,edward.clark@compass.com,(631) 277-6963,Compass,"Brooklyn, NY",NY,104919085731,19,29,94,A,2026-04-05
Virginia Powell,virginia.powell7@realty.com,(727) 328-3254,Hill Country Real Estate,"Daytona Beach, FL",FL,BK7405485,24,31,99,C,2026-04-05
Rachel Smith,rsmith@outlook.com,(480) 916-5137,RE/MAX,"Glendale, AZ",AZ,AZ8837626,12,72,93,C,2026-04-05
Jason Cruz,jason.cruz4@hotmail.com,(980) 462-9182,Rogers Healy,"Greensboro, NC",NC,NC6256871,5,5,67,B,2026-04-05
William Jackson,william79@realty.com,(561) 398-4673,William Pitt,"Cape Coral, FL",FL,BK3121992,25,79,88,B,2026-04-05
Brenda Kelly,brenda59@compass.com,(919) 300-4818,JP & Associates,"Gastonia, NC",NC,NC9303555,12,41,99,C,2026-04-05
Peter Parker,peter.parker@expworldholdings.com,(404) 817-9062,Hill Country Real Estate,"Austin, GA",GA,GA3098577,13,20,84,A,2026-04-05
Barbara Miller,millerb@yahoo.com,(916) 641-4480,Windermere,"Riverside, CA",CA,BRE7699573,0,1,65,B,2026-04-05
Michael Evans,evansm@compass.com,(919) 660-8711,Corcoran,"Gastonia, NC",NC,NC7357556,9,42,90,C,2026-04-05
Steven Allen,steven62@elliman.com,(980) 953-4921,Berkshire Hathaway HomeServices,"Asheville, NC",NC,NC4661129,4,22,70,C,2026-04-05
Edward Edwards,edward_edwards@remax.net,(602) 277-4302,Better Homes & Gardens,"Austin, AZ",AZ,AZ4813152,21,84,88,A,2026-04-05
Rebecca Ward,rebecca_ward@orlandodreamhomes.com,(386) 355-9395,Orlando Dream Homes,"Orlando, FL",FL,BK6398657,9,28,88,A,2026-04-05
Stephen Taylor,stephen_taylor@miamibeachrealty.com,(336) 633-7021,Miami Beach Realty,"Austin, NC",NC,NC8860227,1,5,61,A,2026-04-05
James Robinson,james_robinson@realtor.com,(941) 728-7865,Corcoran,"Sarasota, FL",FL,BK7713850,20,78,86,B,2026-04-05
Kathleen Reyes,kathleen.reyes@hotmail.com,(707) 266-7314,Orlando Dream Homes,"Bakersfield, CA",CA,BRE4903971,7,17,87,B,2026-04-05
Maria Scott,marias@realty.com,(412) 928-4731,Hill Country Real Estate,"Fort Worth, PA",PA,RS369375,19,64,96,A,2026-04-05
Stephanie Long,slong@sothebysrealty.com,(630) 612-2966,Berkshire Hathaway HomeServices,"McAllen, IL",IL,4756444699,2,3,63,B,2026-04-05
Sharon Ramos,sharon38@yahoo.com,(847) 942-3146,Better Homes & Gardens,"Naperville, IL",IL,4759067542,25,36,97,A,2026-04-05
Rachel Myers,rachelm@hotmail.com,(707) 590-8681,The Agency,"San Jose, CA",CA,BRE6371596,18,28,84,A,2026-04-05
Judy Russell,russellj@berkshirehathaway.com,(267) 961-7124,Berkshire Hathaway,"Scranton, PA",PA,RS369620,0,8,60,C,2026-04-05
Donna Diaz,diazd@compass.com,(941) 780-4806,Realogics Sotheby's,"Miami, FL",FL,BK3366662,8,29,87,A,2026-04-05
Dylan Scott,dylan.scott7@yahoo.com,(239) 238-7303,Sotheby's International Realty,"St. Petersburg, FL",FL,BK9670807,19,61,88,B,2026-04-05
Arthur Hughes,arthur_hughes@kw.com,(740) 237-1451,Douglas Elliman,"Austin, OH",OH,R.E.7373173,24,35,91,A,2026-04-05
Eric Flores,eflores@ebbyhalliday.com,(561) 787-4025,Ebby Halliday,"Sarasota, FL",FL,BK9659721,18,76,85,B,2026-04-05
Amanda Ross,rossa@realtor.com,(858) 579-4329,Realty ONE Group,"Santa Rosa, CA",CA,BRE7535401,2,9,61,C,2026-04-05
Jacob Foster,fosterj@daveperrymiller.com,(646) 666-3475,Dave Perry Miller,"Long Island, NY",NY,104911238683,0,5,60,A,2026-04-05
Ruth Wright,ruth84@julieharrisrealty.com,(210) 455-1424,Julie Harris Realty,"Tyler, TX",TX,TREC9125818,25,41,86,C,2026-04-05
Richard Watson,richard.watson3@elliman.com,(727) 444-2220,RE/MAX,"Naples, FL",FL,BK5360070,11,42,89,B,2026-04-05
Charles Myers,myersc@outlook.com,(478) 932-6540,Nicholas Realty,"Augusta, GA",GA,GA2282624,11,44,90,B,2026-04-05
Amanda Kim,amanda_kim@cbrealty.com,(910) 327-5077,ERA Real Estate,"Fort Worth, NC",NC,NC5795271,4,8,75,A,2026-04-05
Angela Hall,angela.hall6@hotmail.com,(561) 352-2095,Halstead,"Miami, FL",FL,BK6231894,15,51,97,A,2026-04-05
Ashley Alvarez,ashley.alvarez@realtor.com,(805) 501-6144,Sotheby's International,"Santa Barbara, CA",CA,BRE8715096,15,58,90,C,2026-04-05
Jack Ross,jack60@sothebysrealty.com,(706) 853-8707,Century 21,"Augusta, GA",GA,GA3687272,13,77,85,B,2026-04-05
Shirley Lee,shirley_lee@realtyonegroup.com,(310) 584-1082,Realty ONE Group,"San Francisco, CA",CA,BRE1372059,22,51,92,A,2026-04-05
Bryan Carter,bryan.carter@redfin.com,(252) 306-8896,Redfin,"Charlotte, NC",NC,NC7310751,7,40,80,B,2026-04-05
Mary Sanchez,mary31@redfin.com,(707) 309-1321,Redfin,"Bakersfield, CA",CA,BRE9846566,11,60,93,B,2026-04-05
Mark Patel,markp@realty.com,(847) 736-8935,Allie Beth Allman,"Oak Park, IL",IL,4759261527,16,49,91,A,2026-04-05
Jonathan Hughes,hughesj@jpassociates.com,(212) 943-4114,JP & Associates,"Waco, NY",NY,104914110116,9,20,84,C,2026-04-05
Grace Ramirez,grace.ramirez@rogershealy.com,(718) 893-7111,Rogers Healy,"Waco, NY",NY,104918272273,23,68,88,C,2026-04-05
Ryan Jimenez,ryan85@remax.net,(347) 498-9024,Douglas Elliman,"Waco, NY",NY,104919915223,9,27,79,C,2026-04-05
Joseph Wright,josephw@yahoo.com,(229) 689-5893,Nicholas Realty,"Houston, GA",GA,GA8286811,7,21,85,A,2026-04-05
James Myers,james38@douglaselliman.com,(916) 414-9967,Douglas Elliman,"Santa Barbara, CA",CA,BRE8811210,15,52,92,C,2026-04-05
Kenneth Adams,kenneth.adams@compass.com,(707) 783-6946,Miami Beach Realty,"Oakland, CA",CA,BRE6670739,6,21,76,B,2026-04-05
Raymond Gonzalez,raymond_gonzalez@sunshinestateproperties.com,(928) 231-1173,Sunshine State Properties,"Houston, AZ",AZ,AZ7891560,8,34,88,A,2026-04-05
Michael Baker,bakerm@windermere.com,(919) 497-8188,Windermere,"Dallas, NC",NC,NC6757735,6,33,85,A,2026-04-05
Emily Russell,russelle@ebbyhalliday.com,(614) 572-4456,Ebby Halliday,"Middletown, OH",OH,R.E.7531207,1,12,70,C,2026-04-05
Catherine Nelson,cnelson@realty.com,(470) 445-2253,eXp Realty,"Roswell, GA",GA,GA5692663,21,77,94,C,2026-04-05
Paul Bennett,paulb@berkshirehathaway.com,(623) 489-1958,Berkshire Hathaway,"Tucson, AZ",AZ,AZ4541925,20,65,95,B,2026-04-05
Donald Jackson,donald36@julieharrisrealty.com,(530) 351-7146,Julie Harris Realty,"Stockton, CA",CA,BRE3110632,11,56,91,B,2026-04-05
Steven Sanchez,steven23@icloud.com,(919) 216-1561,Halstead,"Durham, NC",NC,NC8292145,17,50,92,B,2026-04-05
Eric Long,longe@yahoo.com,(570) 569-5409,Keller Williams,"Allentown, PA",PA,RS350733,0,8,60,B,2026-04-05
David Hughes,david_hughes@berkshirehathaway.com,(602) 939-6894,Briggs Freeman,"Tempe, AZ",AZ,AZ4316621,21,39,94,B,2026-04-05
Pamela Campbell,pamela.campbell@gmail.com,(614) 699-8984,Coldwell Banker,"Cleveland, OH",OH,R.E.7428779,13,44,94,B,2026-04-05
Sharon White,sharon.white@exprealty.com,(630) 317-4968,eXp Realty,"El Paso, IL",IL,4755548807,12,48,93,B,2026-04-05
Christina Ward,christinaw@compass.com,(817) 628-6545,Redfin,"Beaumont, TX",TX,TREC2562342,5,8,72,C,2026-04-05
Ashley Myers,ashley92@redfin.com,(602) 458-7303,Redfin,"San Antonio, AZ",AZ,AZ3591253,8,30,81,A,2026-04-05
Lisa Allen,allenl@gmail.com,(224) 422-3520,Nicholas Realty,"McAllen, IL",IL,4753711351,3,22,79,B,2026-04-05
Mark Carter,mark.carter6@gmail.com,(602) 698-9407,Compass,"Houston, AZ",AZ,AZ6687474,0,1,60,A,2026-04-05
Nicole Clark,nicolec@sothebysrealty.com,(717) 438-8159,Long & Foster,"Fort Worth, PA",PA,RS337019,24,46,91,A,2026-04-05
Shirley Nelson,shirleyn@kw.com,(773) 973-7286,Long & Foster,"Amarillo, IL",IL,4753111518,4,16,78,B,2026-04-05
Margaret Ramirez,margaret.ramirez4@sothebysrealty.com,(469) 586-6540,Miami Beach Realty,"Dallas, TX",TX,TREC8776589,8,32,83,A,2026-04-05
Linda Lopez,linda.lopez9@elliman.com,(678) 650-6717,Brown Harris Stevens,"Austin, GA",GA,GA7637769,14,48,94,A,2026-04-05
Mark Evans,mark.evans3@sothebysrealty.com,(917) 886-9647,Sotheby's International Realty,"Corpus Christi, NY",NY,104915144914,10,69,87,B,2026-04-05
Judy Allen,judy.allen4@theagency.com,(614) 236-4559,The Agency,"Dallas, OH",OH,R.E.1900697,8,23,88,A,2026-04-05
Emily Lopez,elopez@gmail.com,(415) 425-5977,Hill Country Real Estate,"Riverside, CA",CA,BRE9464710,19,70,93,B,2026-04-05
Walter Lee,walter38@gmail.com,(984) 879-7388,Sunshine State Properties,"Dallas, NC",NC,NC2277040,4,6,69,A,2026-04-05
Donna Perry,donna_perry@berkshirehathaway.com,(805) 663-5247,Hill Country Real Estate,"Sacramento, CA",CA,BRE3719729,11,74,92,A,2026-04-05
Laura Bailey,laura.bailey@berkshirehathaway.com,(570) 642-4386,Berkshire Hathaway,"Dallas, PA",PA,RS355360,6,33,95,A,2026-04-05
Raymond Torres,raymond.torres3@berkshirehathaway.com,(937) 747-1320,Berkshire Hathaway,"Canton, OH",OH,R.E.7027438,25,61,100,C,2026-04-05
Jennifer Powell,jennifer_powell@yahoo.com,(469) 393-1825,Keller Williams,"Beaumont, TX",TX,TREC5779343,10,77,92,C,2026-04-05
Nicholas Stewart,nstewart@redfin.com,(984) 945-7618,Better Homes & Gardens,"Fort Worth, NC",NC,NC2889297,0,3,68,A,2026-04-05
Gary Reed,garyr@elliman.com,(623) 725-5388,Windermere,"Tempe, AZ",AZ,AZ1083324,22,34,85,B,2026-04-05
Shirley Ruiz,shirley.ruiz@hillcountryrealestate.com,(773) 234-9705,Hill Country Real Estate,"El Paso, IL",IL,4756105086,19,74,91,B,2026-04-05
George Allen,georgea@austinhomegirls.com,(773) 509-5166,Austin Home Girls,"Tyler, IL",IL,4757957475,24,49,96,C,2026-04-05
Christina Mitchell,mitchellc@kw.com,(717) 799-9360,John L. Scott,"Houston, PA",PA,RS380805,13,47,97,A,2026-04-05
Katherine Roberts,robertsk@douglaselliman.com,(530) 413-2249,Douglas Elliman,"Modesto, CA",CA,BRE2570551,2,2,60,C,2026-04-05
Christine Reed,christine.reed@gmail.com,(717) 535-7381,Tampa Bay Elite,"State College, PA",PA,RS318792,24,65,91,C,2026-04-05
Angela Russell,angela_russell@kellerwilliams.com,(904) 271-8590,Keller Williams,"Cape Coral, FL",FL,BK7100346,0,6,61,B,2026-04-05
Mary Evans,mary50@sothebysrealty.com,(480) 462-8864,Realty ONE Group,"Phoenix, AZ",AZ,AZ6226486,19,32,87,B,2026-04-05
Amanda Reed,amandar@erarealestate.com,(212) 632-1141,ERA Real Estate,"McAllen, NY",NY,104917925126,4,10,68,B,2026-04-05
Peter Martin,peter_martin@elliman.com,(480) 613-8535,Realty ONE Group,"Fort Worth, AZ",AZ,AZ6584478,25,72,86,A,2026-04-05
Olivia Chavez,olivia_chavez@century21.com,(928) 297-6767,Long & Foster,"Tempe, AZ",AZ,AZ8731354,14,52,89,B,2026-04-05
George Moore,georgem@yahoo.com,(956) 547-3410,The Collective,"Tyler, TX",TX,TREC7065045,21,57,98,C,2026-04-05
Shirley Sanchez,ssanchez@sothebysinternational.com,(470) 571-2429,Sotheby's International,"Austin, GA",GA,GA8468226,8,28,84,A,2026-04-05
Cynthia Howard,cynthiah@compass.com,(984) 219-4389,Keller Williams,"Concord, NC",NC,NC7649544,7,33,81,C,2026-04-05
Patrick Martinez,patrick.martinez7@tampabayelite.com,(847) 808-3674,Tampa Bay Elite,"Evanston, IL",IL,4754863066,9,18,84,A,2026-04-05
George Ortiz,george13@berkshirehathaway.com,(646) 361-2000,Tampa Bay Elite,"Manhattan, NY",NY,104916794046,6,32,95,A,2026-04-05
Stephen Miller,stephenm@re/max.com,(815) 690-4238,RE/MAX,"Lubbock, IL",IL,4754611920,25,60,100,B,2026-04-05
Larry Reed,larry42@gmail.com,(312) 389-7470,Better Homes & Gardens,"Naperville, IL",IL,4755683842,17,54,99,A,2026-04-05
Jennifer Hall,jennifer.hall8@kw.com,(805) 880-1222,Coldwell Banker,"San Jose, CA",CA,BRE2586941,7,38,91,A,2026-04-05
Eric Hernandez,eric77@betterhomesgardens.com,(305) 589-7966,Better Homes & Gardens,"West Palm Beach, FL",FL,BK8201761,16,40,95,B,2026-04-05
Dorothy Myers,dorothym@betterhomesgardens.com,(817) 749-7096,Better Homes & Gardens,"San Antonio, TX",TX,TREC3208895,0,9,65,A,2026-04-05
Bryan Ruiz,bryan.ruiz@gmail.com,(312) 847-5269,Berkshire Hathaway HomeServices,"Beaumont, IL",IL,4757272943,17,34,92,C,2026-04-05
Alexander Watson,alexander97@century21.com,(513) 999-9939,Century 21,"San Antonio, OH",OH,R.E.7717387,16,71,93,A,2026-04-05
Emma Roberts,emma.roberts@remax.net,(858) 727-2841,Nicholas Realty,"Riverside, CA",CA,BRE4852027,18,65,100,B,2026-04-05
Mark Rodriguez,mark.rodriguez4@johnl.scott.com,(630) 951-2430,John L. Scott,"Oak Park, IL",IL,4759644447,5,12,71,A,2026-04-05
Anthony Flores,anthony.flores1@realtor.com,(215) 412-7253,Rogers Healy,"Allentown, PA",PA,RS333053,21,27,95,B,2026-04-05
Rachel Johnson,rjohnson@redfin.com,(478) 667-8640,Sotheby's International Realty,"Houston, GA",GA,GA6768968,2,15,73,A,2026-04-05
Richard Reed,richard.reed@ebbyhalliday.com,(773) 430-3121,Ebby Halliday,"Midland, IL",IL,4753756876,8,31,88,C,2026-04-05
Samantha Lewis,samantha.lewis4@expworldholdings.com,(214) 277-9084,Realty ONE Group,"Amarillo, TX",TX,TREC5200667,10,66,93,B,2026-04-05
Tyler Campbell,tyler_campbell@theagency.com,(630) 511-6281,The Agency,"Waco, IL",IL,4754306558,24,56,88,C,2026-04-05
Paul Chavez,paul_chavez@hotmail.com,(972) 936-9147,Sotheby's International Realty,"San Antonio, TX",TX,TREC2984700,24,23,87,A,2026-04-05
Stephanie Cruz,stephanie55@sothebysrealty.com,(330) 678-9710,John L. Scott,"Houston, OH",OH,R.E.1201937,14,35,93,A,2026-04-05
Shirley Cox,shirley.cox@expworldholdings.com,(786) 794-3571,Sotheby's International Realty,"Cape Coral, FL",FL,BK7492043,22,57,88,B,2026-04-05
Ronald Jones,ronald.jones1@hotmail.com,(956) 566-9272,William Pitt,"Corpus Christi, TX",TX,TREC5484189,8,39,91,B,2026-04-05
Terry Morales,terry.morales@remax.net,(412) 890-4426,William Pitt,"Pittsburgh, PA",PA,RS377922,9,34,87,B,2026-04-05
Stephanie Cox,stephanie_cox@longfoster.com,(718) 481-4125,Long & Foster,"New York City, NY",NY,104918927412,10,39,97,A,2026-04-05
Sharon Reed,sharonr@berkshirehathawayhomeservices.com,(872) 876-4270,Berkshire Hathaway HomeServices,"Naperville, IL",IL,4751208963,5,16,70,A,2026-04-05
